node_id,round,packet_rate,energy_remaining,label,layer1_flagged,ml_prediction,ml_threat_score,bc_verified,bc_reason,bc_confidence,final_decision
1.0,2.0,33.4015818937446,0.982948095241186,0.0,1.0,0.0,0.036661025398719,0,LOCATION_MISMATCH(dist=48.4m)+ENERGY_ANOMALY,0.6667,BLOCKED
1.0,3.0,46.8827656178056,1.02409158327502,1.0,0.0,1.0,0.9928435772737448,0,BLACKLISTED,1.0,BLOCKED
1.0,3.0,49.8907669885488,1.02522026997862,1.0,1.0,1.0,0.9996104753754492,0,BLACKLISTED,1.0,BLOCKED
1.0,4.0,31.5486576225502,0.980876800136137,0.0,1.0,0.0,0.0299373784043775,0,BLACKLISTED,1.0,BLOCKED
1.0,5.0,33.6831838501629,0.892059660468074,0.0,1.0,0.0,0.0699702041596386,0,BLACKLISTED,1.0,BLOCKED
1.0,7.0,30.7506948136722,0.90239146686187,0.0,1.0,0.0,0.0495461303869243,0,BLACKLISTED,1.0,BLOCKED
1.0,10.0,29.507019388171,0.817247619651375,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
1.0,11.0,22.224804249681,0.883567384029458,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
1.0,15.0,35.1831401114747,0.769315404164691,0.0,1.0,0.0,0.1431729328671762,0,BLACKLISTED,1.0,BLOCKED
1.0,16.0,29.2052009566522,0.77188726782461,0.0,1.0,0.0,0.0428042133625854,0,BLACKLISTED,1.0,BLOCKED
1.0,17.0,32.2437864321875,0.738192249622934,0.0,1.0,0.0,0.0861823188442737,0,BLACKLISTED,1.0,BLOCKED
1.0,19.0,48.3195504289687,0.691639218514331,1.0,0.0,1.0,0.9940566046510796,0,BLACKLISTED,1.0,BLOCKED
1.0,19.0,52.6945244227968,0.656944056263267,1.0,1.0,1.0,0.9887686924591624,0,BLACKLISTED,1.0,BLOCKED
2.0,2.0,33.4619330335707,1.00498969100063,0.0,1.0,0.0,0.1624853799103376,0,LOCATION_MISMATCH(dist=75.7m)+ENERGY_ANOMALY,0.6667,BLOCKED
2.0,8.0,27.8861769047176,0.905738432058964,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
2.0,9.0,26.631809297132,0.900218169930787,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
2.0,12.0,37.7770349673523,0.86753192516445,0.0,1.0,0.0,0.4920898460058762,0,BLACKLISTED,1.0,BLOCKED
2.0,15.0,35.7371189299692,0.800926561328043,0.0,1.0,0.0,0.1209968572841633,0,BLACKLISTED,1.0,BLOCKED
2.0,16.0,46.292089887048,0.754579558829698,1.0,1.0,1.0,0.9978870494602522,0,BLACKLISTED,1.0,BLOCKED
3.0,2.0,45.4314770572596,0.964491874056353,1.0,1.0,1.0,0.9996247128383924,0,LOCATION_MISMATCH(dist=45.8m),0.3333,BLOCKED
3.0,2.0,47.0180520196278,0.936074667743347,1.0,1.0,1.0,0.9994428333435004,0,BLACKLISTED,1.0,BLOCKED
3.0,7.0,28.1455787283908,0.933017801974218,0.0,1.0,0.0,0.0064031095077221,0,BLACKLISTED,1.0,BLOCKED
3.0,9.0,55.9444724392386,0.803829139689087,2.0,0.0,1.0,0.999613051946978,0,BLACKLISTED,1.0,BLOCKED
3.0,13.0,34.1318057016329,0.794566179994218,0.0,1.0,0.0,0.0494698176565625,0,BLACKLISTED,1.0,BLOCKED
3.0,16.0,20.3334353660999,0.750121671386222,0.0,1.0,0.0,0.0066666666666666,0,BLACKLISTED,1.0,BLOCKED
3.0,17.0,25.9003612716746,0.735919683345089,0.0,1.0,0.0,0.0112100642592089,0,BLACKLISTED,1.0,BLOCKED
3.0,20.0,30.7757609708189,0.731609392404917,0.0,1.0,0.0,0.006184931928787,0,BLACKLISTED,1.0,BLOCKED
4.0,2.0,31.4140386368733,0.949375230378069,0.0,1.0,0.0,0.0461590870283561,0,LOCATION_MISMATCH(dist=65.9m),0.3333,BLOCKED
4.0,3.0,31.3403283194203,0.870142073070722,0.0,1.0,0.0,0.0414856542044536,0,BLACKLISTED,1.0,BLOCKED
4.0,8.0,26.758244117115,0.94326424499871,0.0,1.0,0.0,0.0182435698739399,0,BLACKLISTED,1.0,BLOCKED
4.0,11.0,28.4556818402402,0.868093676678591,0.0,1.0,0.0,0.0041073474063164,0,BLACKLISTED,1.0,BLOCKED
4.0,13.0,23.7480717916685,0.798504440478954,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
4.0,14.0,24.2978856368976,0.770113961401853,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
4.0,16.0,20.8633510256258,0.769645437699002,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
4.0,17.0,26.9624734169981,0.717563451067707,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
4.0,19.0,33.7425907511328,0.689554299280827,0.0,1.0,0.0,0.1454404712314179,0,BLACKLISTED,1.0,BLOCKED
5.0,5.0,40.4464668481925,0.916703842529261,1.0,1.0,1.0,0.7807673367441733,0,LOCATION_MISMATCH(dist=79.4m),0.3333,BLOCKED
5.0,5.0,41.058731191132,0.929156419568419,1.0,1.0,1.0,0.9957084031441396,0,BLACKLISTED,1.0,BLOCKED
5.0,6.0,21.7053620243578,0.908952581579338,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
5.0,8.0,41.3697723615817,0.879468534739942,1.0,1.0,1.0,0.8054288654509424,0,BLACKLISTED,1.0,BLOCKED
5.0,9.0,23.056441310348,0.863458726825548,0.0,1.0,0.0,0.0029679555397895,0,BLACKLISTED,1.0,BLOCKED
5.0,12.0,26.5729618049414,0.791557427573438,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
5.0,13.0,30.7454328689269,0.804290112672429,0.0,1.0,0.0,0.0200318509250074,0,BLACKLISTED,1.0,BLOCKED
5.0,15.0,21.8484695304604,0.765775132134273,0.0,1.0,0.0,0.0233920545738806,0,BLACKLISTED,1.0,BLOCKED
5.0,16.0,49.1099292496416,0.735288628492807,1.0,1.0,1.0,0.9894638805797908,0,BLACKLISTED,1.0,BLOCKED
6.0,3.0,30.0024606459429,0.931566226080819,0.0,1.0,0.0,0.0013477957364549,0,LOCATION_MISMATCH(dist=103.0m),0.3333,BLOCKED
6.0,4.0,41.9033881549295,0.943518371538671,1.0,0.0,1.0,0.9639997485734676,0,BLACKLISTED,1.0,BLOCKED
6.0,5.0,23.4945365477208,0.946849296911361,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
6.0,15.0,28.8876682120863,0.790143005221776,0.0,1.0,0.0,0.0195029439043453,0,BLACKLISTED,1.0,BLOCKED
6.0,16.0,23.6964349889936,0.786549578171724,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
6.0,19.0,37.9556278104008,0.754232574171067,0.0,1.0,0.0,0.3892509103465093,0,BLACKLISTED,1.0,BLOCKED
7.0,2.0,28.0580330174578,0.98633984390217,0.0,1.0,0.0,0.001320079941096,0,LOCATION_MISMATCH(dist=52.0m)+ENERGY_ANOMALY,0.6667,BLOCKED
7.0,3.0,24.5735056617872,0.923309874070063,0.0,1.0,0.0,0.0,0,BLACKLISTED,1.0,BLOCKED
